station_id,station_code
0,G0401L010430121
1,G65L040431202
2,G65L030433123
3,G65L020433101
4,G65L010433124
5,G60L070430525
6,G60L060430524
7,G65L050431221
8,G72L006430223
9,G72L002430224
10,G65L110431230
11,G65L100431230
12,G65L080431229
13,G60L050430503
14,G60L007430304
15,G6021L050430121
16,G56L060433101
17,G56L050433101
18,G56L040433122
19,G0421L060430112
20,G0401L050430111
21,G60L040430521
22,G60L030431321
23,G60L020430381
24,G60L010430321
25,G56L030431222
26,G72L008430424
27,S52L010430281
28,S50L120431202
29,S50L110431202
30,S50L090431224
31,S50L040430381
32,S50L010430104
33,S71L010430623
34,S91L020430581
35,S81L010431124
36,S71L090431321
37,S71L060430124
38,S71L050430903
39,S41L010430112
40,G76L020431026
41,G0401L040430121
42,G72L040431102
43,G72L030431121
44,G72L010430422
45,G76L030431022
46,S21L020430204
47,S10L020433127
48,G76L060431127
49,G76L050431024
50,G56L007430725
51,G0422L120431027
52,G0422L110430225
53,G0422L100430224
54,G0422L080430281
55,G0422L070430281
56,G0422L060430281
57,G0422L130431026
58,G4L040430121
59,G4L030430681
60,G4L020430682
61,G4L010430682
62,G0422L140431026
63,G0422L050430181
64,G0421L150431021
65,G0421L140431021
66,G0421L130430482
67,G0421L120430422
68,G0421L070430302
69,G0421L160431024
70,G0421L020430602
71,G0422L040430181
72,G0421L180431022
73,G0421L170431025
74,G4L050430121
75,G5513L050430725
76,G5513L030430722
77,G5513L020430902
78,G5513L019430903
79,G5513L018430903
80,G5513L016430124
81,G5513L060430821
82,G56L001430682
83,G55L170431127
84,G55L120431103
85,G55L110430523
86,G5513L013430124
87,G4L125431003
88,G4L100430481
89,G4L090430422
90,G4L080430424
91,G4L070430221
92,G4L130431022
93,G5513L012430124
94,G5513L011430112
95,G0401L060430112
96,G5513L010430112
97,S99L050433126
